Date,Open,High,Low,Close,Volume,Adj Close
2016-07-29,161.360001,161.669998,160.029999,160.619995,3538600,160.619995
2016-07-28,161.380005,161.809998,160.710007,161.369995,2323400,161.369995
2016-07-27,162.119995,162.570007,161.179993,161.830002,2151700,161.830002
2016-07-26,162.649994,163.600006,161.369995,162.119995,2887400,162.119995
2016-07-25,162.00,162.880005,161.75,162.649994,2726700,162.649994
2016-07-22,160.779999,162.169998,160.479996,162.070007,2490600,162.070007
2016-07-21,160.75,161.850006,159.889999,160.449997,3518900,160.449997
2016-07-20,159.970001,161.710007,159.600006,161.360001,4376300,161.360001
2016-07-19,161.779999,162.139999,157.889999,159.580002,7120000,159.580002
2016-07-18,159.300003,160.75,158.729996,159.860001,6729700,159.860001
2016-07-15,159.899994,159.979996,158.50,159.779999,4476800,159.779999
2016-07-14,158.809998,161.399994,158.580002,160.279999,4637600,160.279999
2016-07-13,157.75,158.339996,157.059998,158.020004,2746400,158.020004
2016-07-12,156.00,157.119995,155.520004,157.039993,3843800,157.039993
2016-07-11,154.600006,156.039993,154.50,155.330002,2833700,155.330002
2016-07-08,154.00,154.600006,153.080002,154.460007,3040600,154.460007
2016-07-07,152.75,153.690002,151.889999,152.600006,2138400,152.600006
2016-07-06,151.850006,152.410004,149.919998,152.369995,2569400,152.369995
2016-07-05,151.190002,152.00,150.759995,151.679993,2465200,151.679993
2016-07-01,151.779999,152.970001,151.399994,152.350006,2658300,152.350006
2016-06-30,148.860001,151.910004,148.669998,151.779999,3967100,151.779999
2016-06-29,146.50,148.479996,146.449997,148.460007,3367700,148.460007
2016-06-28,144.779999,145.729996,144.220001,145.699997,3997700,145.699997
2016-06-27,146.179993,146.600006,142.50,143.50,5017900,143.50
2016-06-24,149.970001,150.610001,146.179993,146.589996,9082800,146.589996
2016-06-23,153.449997,155.479996,152.600006,155.350006,3969400,155.350006
2016-06-22,153.75,154.710007,152.270004,152.919998,2833700,152.919998
2016-06-21,154.160004,154.570007,153.690002,154.050003,2760300,154.050003
2016-06-20,152.600006,154.669998,152.520004,153.610001,3572100,153.610001
2016-06-17,150.960007,152.720001,150.600006,151.990005,4663900,151.990005
2016-06-16,150.190002,151.289993,149.00,151.059998,2449100,151.059998
2016-06-15,151.460007,151.789993,150.600006,150.679993,2260400,150.679993
2016-06-14,151.279999,151.789993,150.399994,151.059998,2865800,151.059998
2016-06-13,151.630005,152.50,150.279999,151.279999,3610400,151.279999
2016-06-10,152.789993,153.330002,151.860001,152.369995,3120600,152.369995
2016-06-09,152.919998,153.759995,152.729996,153.419998,2021800,153.419998
2016-06-08,153.529999,154.089996,153.039993,154.00,2935000,154.00
2016-06-07,153.309998,153.929993,152.660004,153.330002,4465000,153.330002
2016-06-06,153.089996,153.949997,152.339996,152.729996,2378700,152.729996
2016-06-03,152.399994,153.039993,151.699997,152.889999,2328300,152.889999
2016-06-02,152.589996,153.50,152.119995,153.50,2642600,153.50
2016-06-01,153.00,153.270004,151.539993,152.509995,2663400,152.509995
2016-05-31,152.559998,153.809998,152.270004,153.740005,5836600,153.740005
2016-05-27,152.350006,152.929993,152.149994,152.839996,2457100,152.839996
